Item,Year,Value_t,Area_ha,Yield_t_ha,Fenomeno_ENSO
Avocados,1998,515476.0,72355.0,7.1243,El Niño
Cassava,1998,1630105.0,214466.0,7.6008,El Niño
Sugar cane,1998,16527193.0,242548.0,68.1398,El Niño
"Coffee, green",1999,711273.0,829355.0,0.8576,La Niña
"Rice, paddy",1999,2492536.0,485552.0,5.1334,La Niña
Maize,1999,1324200.0,938686.0,1.4107,La Niña
Potatoes,1999,2435478.0,133639.0,18.2244,La Niña
Bananas,1999,3278044.0,405362.0,8.0867,La Niña
Avocados,1999,573147.0,70004.0,8.1874,La Niña
Cassava,1999,1994077.0,216026.0,9.2307,La Niña
Sugar cane,1999,21795762.0,245165.0,88.9023,La Niña
"Coffee, green",2000,725469.0,864862.0,0.8388,La Niña
"Rice, paddy",2000,2216939.0,499259.0,4.4405,La Niña
Maize,2000,1467483.0,930347.0,1.5774,La Niña
Potatoes,2000,2622157.0,128298.0,20.438,La Niña
Bananas,2000,3476501.0,400995.0,8.6697,La Niña
Avocados,2000,637723.0,74182.0,8.5967,La Niña
Cassava,2000,1836010.0,223499.0,8.2149,La Niña
Sugar cane,2000,20935292.0,248169.0,84.359,La Niña
"Coffee, green",2001,743032.0,871049.0,0.853,La Niña
"Rice, paddy",2001,2429968.0,491363.0,4.9454,La Niña
Maize,2001,1313284.0,910246.0,1.4428,La Niña
Potatoes,2001,2393615.0,130248.0,18.3773,La Niña
Bananas,2001,3716417.0,409534.0,9.0747,La Niña
Avocados,2001,624374.0,70639.0,8.839,La Niña
Cassava,2001,2011427.0,225064.0,8.9371,La Niña
Sugar cane,2001,20688260.0,251012.0,82.4195,La Niña
"Coffee, green",2002,619265.0,828200.0,0.7477,El Niño
"Rice, paddy",2002,1961283.0,496823.0,3.9476,El Niño
Maize,2002,1090684.0,957334.0,1.1393,El Niño
Potatoes,2002,2152239.0,133953.0,16.0671,El Niño
Bananas,2002,2904332.0,407054.0,7.135,El Niño
Avocados,2002,523769.0,72718.0,7.2028,El Niño
Cassava,2002,1481523.0,222907.0,6.6464,El Niño
Sugar cane,2002,18928321.0,248032.0,76.3141,El Niño
"Coffee, green",2003,581116.0,866614.0,0.6706,El Niño
"Rice, paddy",2003,1904117.0,491497.0,3.8741,El Niño
Maize,2003,1098473.0,925574.0,1.1868,El Niño
Potatoes,2003,2140976.0,133147.0,16.0798,El Niño
Bananas,2003,2819542.0,419709.0,6.7179,El Niño
Avocados,2003,544129.0,74347.0,7.3188,El Niño
Cassava,2003,1531625.0,222731.0,6.8766,El Niño
Sugar cane,2003,19523578.0,253430.0,77.0374,El Niño
"Coffee, green",2004,809944.0,832150.0,0.9733,Normal
"Rice, paddy",2004,2765962.0,512441.0,5.3976,Normal
Maize,2004,1621136.0,937677.0,1.7289,Normal
Potatoes,2004,2731508.0,134631.0,20.2889,Normal
Bananas,2004,4299937.0,408637.0,10.5226,Normal
Avocados,2004,750690.0,74973.0,10.0128,Normal
Cassava,2004,2131765.0,224344.0,9.5022,Normal
Sugar cane,2004,24813818.0,254474.0,97.5101,Normal
"Coffee, green",2005,883090.0,863819.0,1.0223,Normal
"Rice, paddy",2005,2916782.0,498469.0,5.8515,Normal
Maize,2005,1718375.0,942364.0,1.8235,Normal
Potatoes,2005,2772555.0,135332.0,20.487,Normal
Bananas,2005,4314139.0,408237.0,10.5677,Normal
Avocados,2005,764404.0,74933.0,10.2012,Normal
Cassava,2005,2170037.0,231193.0,9.3863,Normal
Sugar cane,2005,24464262.0,246316.0,99.3207,Normal
"Coffee, green",2006,840944.0,879675.0,0.956,Normal
"Rice, paddy",2006,2880915.0,492540.0,5.8491,Normal
Maize,2006,1621935.0,949725.0,1.7078,Normal
Potatoes,2006,2761774.0,137222.0,20.1263,Normal
Bananas,2006,4350997.0,414089.0,10.5074,Normal
Avocados,2006,781150.0,72998.0,10.701,Normal
Cassava,2006,2408901.0,227590.0,10.5844,Normal
Sugar cane,2006,26433148.0,246479.0,107.2431,Normal
"Coffee, green",2007,933459.0,858071.0,1.0879,Normal
"Rice, paddy",2007,2705704.0,489727.0,5.5249,Normal
Maize,2007,1660980.0,947455.0,1.7531,Normal
Potatoes,2007,3044304.0,137678.0,22.1118,Normal
Bananas,2007,3955703.0,420911.0,9.3979,Normal
Avocados,2007,706086.0,75151.0,9.3956,Normal
Cassava,2007,2373488.0,226518.0,10.4781,Normal
Sugar cane,2007,26897051.0,249430.0,107.8339,Normal
"Coffee, green",2008,888718.0,880959.0,1.0088,Normal
"Rice, paddy",2008,2843690.0,501603.0,5.6692,Normal
Maize,2008,1657456.0,967283.0,1.7135,Normal
Potatoes,2008,2905778.0,132271.0,21.9683,Normal
Bananas,2008,4358438.0,424473.0,10.2679,Normal
Avocados,2008,702025.0,72628.0,9.666,Normal
Cassava,2008,2173316.0,224543.0,9.6789,Normal
Sugar cane,2008,26129109.0,256737.0,101.774,Normal
"Coffee, green",2009,660653.0,873029.0,0.7567,El Niño
"Rice, paddy",2009,2030744.0,517754.0,3.9222,El Niño
Maize,2009,1197853.0,978646.0,1.224,El Niño
Potatoes,2009,2197044.0,132262.0,16.6113,El Niño
Bananas,2009,3144623.0,413134.0,7.6116,El Niño
Avocados,2009,553200.0,72079.0,7.6749,El Niño
Cassava,2009,1583373.0,232106.0,6.8218,El Niño
Sugar cane,2009,18348472.0,258810.0,70.8955,El Niño
"Coffee, green",2010,631325.0,876652.0,0.7202,El Niño
"Rice, paddy",2010,2144754.0,509186.0,4.2121,El Niño
Maize,2010,1178031.0,937552.0,1.2565,El Niño
Potatoes,2010,2029604.0,134084.0,15.1368,El Niño
Bananas,2010,3156503.0,429711.0,7.3456,El Niño
Avocados,2010,571093.0,75385.0,7.5757,El Niño
Cassava,2010,1737855.0,230156.0,7.5508,El Niño
Sugar cane,2010,18564929.0,260615.0,71.235,El Niño
"Coffee, green",2011,820878.0,874821.0,0.9383,La Niña
"Rice, paddy",2011,2429656.0,508619.0,4.777,La Niña
Maize,2011,1482097.0,977627.0,1.516,La Niña
Potatoes,2011,2689837.0,135088.0,19.9118,La Niña
Bananas,2011,4056867.0,410078.0,9.8929,La Niña
Avocados,2011,660852.0,72365.0,9.1322,La Niña
Cassava,2011,2124723.0,234278.0,9.0692,La Niña
Sugar cane,2011,22912322.0,260605.0,87.9197,La Niña
"Coffee, green",2012,783725.0,895664.0,0.875,La Niña
"Rice, paddy",2012,2679187.0,521041.0,5.142,La Niña
Maize,2012,1399319.0,986041.0,1.4191,La Niña
Potatoes,2012,2776074.0,134850.0,20.5865,La Niña
Bananas,2012,4005634.0,415550.0,9.6393,La Niña
Avocados,2012,707776.0,72885.0,9.7108,La Niña
Cassava,2012,2128781.0,229750.0,9.2657,La Niña
Sugar cane,2012,22457766.0,251878.0,89.1613,La Niña
"Coffee, green",2013,860477.0,874937.0,0.9835,Normal
"Rice, paddy",2013,2877644.0,516148.0,5.5752,Normal
Maize,2013,1668066.0,950550.0,1.7548,Normal
Potatoes,2013,3183210.0,133122.0,23.9119,Normal
Bananas,2013,4627900.0,431180.0,10.7331,Normal
Avocados,2013,787680.0,75249.0,10.4677,Normal
Cassava,2013,2498056.0,225496.0,11.0781,Normal
Sugar cane,2013,25626828.0,252550.0,101.4722,Normal
"Coffee, green",2014,968104.0,854497.0,1.133,Normal
"Rice, paddy",2014,3014547.0,529856.0,5.6894,Normal
Maize,2014,1814470.0,966041.0,1.8783,Normal
Potatoes,2014,2909869.0,139944.0,20.7931,Normal
Bananas,2014,4471515.0,413657.0,10.8097,Normal
Avocados,2014,730745.0,76884.0,9.5045,Normal
Cassava,2014,2440472.0,235034.0,10.3835,Normal
Sugar cane,2014,28870612.0,258388.0,111.7336,Normal
"Coffee, green",2015,675566.0,877820.0,0.7696,El Niño
"Rice, paddy",2015,2104645.0,513975.0,4.0948,El Niño
Maize,2015,1300836.0,973417.0,1.3364,El Niño
Potatoes,2015,2369847.0,137133.0,17.2814,El Niño
Bananas,2015,3244728.0,427970.0,7.5817,El Niño
Avocados,2015,568810.0,76165.0,7.4681,El Niño
Cassava,2015,1664480.0,231296.0,7.1963,El Niño
Sugar cane,2015,18770922.0,256212.0,73.2632,El Niño
"Coffee, green",2016,677241.0,892034.0,0.7592,El Niño
"Rice, paddy",2016,2311549.0,520565.0,4.4405,El Niño
Maize,2016,1304161.0,970565.0,1.3437,El Niño
Potatoes,2016,2303832.0,134432.0,17.1376,El Niño
Bananas,2016,3107457.0,422281.0,7.3587,El Niño
Avocados,2016,563167.0,73403.0,7.6723,El Niño
Cassava,2016,1651854.0,228666.0,7.2239,El Niño
Sugar cane,2016,21325067.0,256102.0,83.2679,El Niño
"Coffee, green",2017,946095.0,870257.0,1.0871,Normal
"Rice, paddy",2017,3087148.0,512052.0,6.029,Normal
Maize,2017,1690872.0,973867.0,1.7362,Normal
Potatoes,2017,2942725.0,134281.0,21.9147,Normal
Bananas,2017,4322245.0,415126.0,10.4119,Normal
Avocados,2017,747026.0,74938.0,9.9685,Normal
Cassava,2017,2535024.0,233420.0,10.8604,Normal
Sugar cane,2017,28017601.0,256225.0,109.3475,Normal
"Coffee, green",2018,1012429.0,883388.0,1.1461,Normal
"Rice, paddy",2018,2883111.0,523975.0,5.5024,Normal
Maize,2018,1678850.0,966540.0,1.737,Normal
Potatoes,2018,3185702.0,141867.0,22.4555,Normal
Bananas,2018,4524708.0,433376.0,10.4406,Normal
Avocados,2018,850492.0,74202.0,11.4618,Normal
Cassava,2018,2370796.0,231586.0,10.2372,Normal
Sugar cane,2018,27843903.0,258771.0,107.6005,Normal
"Coffee, green",2019,1015798.0,902787.0,1.1252,Normal
"Rice, paddy",2019,3126529.0,515792.0,6.0616,Normal
Maize,2019,1867379.0,1005011.0,1.8581,Normal
Potatoes,2019,3347241.0,134975.0,24.799,Normal
Bananas,2019,4645448.0,417801.0,11.1188,Normal
Avocados,2019,773625.0,74079.0,10.4432,Normal
Cassava,2019,2499805.0,236321.0,10.578,Normal
Sugar cane,2019,26806657.0,259062.0,103.4759,Normal
"Coffee, green",2020,961274.0,886778.0,1.084,Normal
"Rice, paddy",2020,2935525.0,520656.0,5.6381,Normal
Maize,2020,1861227.0,955750.0,1.9474,Normal
Potatoes,2020,3034510.0,138304.0,21.9408,Normal
Bananas,2020,4871729.0,434905.0,11.2018,Normal
Avocados,2020,826161.0,75668.0,10.9183,Normal
Cassava,2020,2512519.0,227462.0,11.0459,Normal
Sugar cane,2020,29063404.0,268087.0,108.4104,Normal
"Coffee, green",2021,870128.0,916356.0,0.9496,La Niña
"Rice, paddy",2021,2831692.0,512696.0,5.5231,La Niña
Maize,2021,1682172.0,958111.0,1.7557,La Niña
Potatoes,2021,2869003.0,136900.0,20.9569,La Niña
Bananas,2021,3785704.0,429715.0,8.8098,La Niña
Avocados,2021,693372.0,76446.0,9.0701,La Niña
Cassava,2021,2220220.0,228562.0,9.7139,La Niña
Sugar cane,2021,23926334.0,263243.0,90.8907,La Niña
"Coffee, green",2022,843189.0,911078.0,0.9255,La Niña
"Rice, paddy",2022,2822114.0,536989.0,5.2554,La Niña
Maize,2022,1645846.0,982253.0,1.6756,La Niña
Potatoes,2022,2943316.0,138397.0,21.2671,La Niña
Bananas,2022,3978644.0,440426.0,9.0336,La Niña
Avocados,2022,713043.0,78094.0,9.1306,La Niña
Cassava,2022,2310343.0,240695.0,9.5986,La Niña
Sugar cane,2022,26904245.0,261951.0,102.7073,La Niña
"Coffee, green",2023,691861.0,905625.0,0.764,El Niño
"Rice, paddy",2023,2234165.0,530719.0,4.2097,El Niño
Maize,2023,1357597.0,1000281.0,1.3572,El Niño
Potatoes,2023,2324651.0,137860.0,16.8624,El Niño
Bananas,2023,3334546.0,424796.0,7.8498,El Niño
Avocados,2023,623859.0,76219.0,8.1851,El Niño
Cassava,2023,1732109.0,229557.0,7.5454,El Niño
Sugar cane,2023,21359166.0,265927.0,80.3198,El Niño
