Pais,Item,Year,Rendimiento_t_ha,Lluvia_mm,Temp_C,Fenomeno_ENSO
Colombia,Cassava,1998,7.0,2028.6,24.6,El Niño
Colombia,Bananas,1998,5.756,2028.6,24.6,El Niño
Colombia,Avocados,1998,6.798,2028.6,24.6,El Niño
Colombia,Maize,1999,3.835,1777.4,23.0,La Niña
Colombia,"Rice, paddy",1999,4.079,1777.4,23.0,La Niña
Colombia,"Coffee, green",1999,0.695,1777.4,23.0,La Niña
Colombia,Potatoes,1999,18.317,1777.4,23.0,La Niña
Colombia,Cassava,1999,7.706,1777.4,23.0,La Niña
Colombia,Bananas,1999,7.994,1777.4,23.0,La Niña
Colombia,Avocados,1999,8.43,1777.4,23.0,La Niña
Colombia,Maize,2000,3.631,2158.6,16.7,La Niña
Colombia,"Rice, paddy",2000,4.516,2158.6,16.7,La Niña
Colombia,"Coffee, green",2000,0.756,2158.6,16.7,La Niña
Colombia,Potatoes,2000,16.045,2158.6,16.7,La Niña
Colombia,Cassava,2000,9.183,2158.6,16.7,La Niña
Colombia,Bananas,2000,8.006,2158.6,16.7,La Niña
Colombia,Avocados,2000,8.204,2158.6,16.7,La Niña
Colombia,Maize,2001,3.508,1246.4,26.3,La Niña
Colombia,"Rice, paddy",2001,3.909,1246.4,26.3,La Niña
Colombia,"Coffee, green",2001,0.661,1246.4,26.3,La Niña
Colombia,Potatoes,2001,17.536,1246.4,26.3,La Niña
Colombia,Cassava,2001,8.64,1246.4,26.3,La Niña
Colombia,Bananas,2001,7.26,1246.4,26.3,La Niña
Colombia,Avocados,2001,7.41,1246.4,26.3,La Niña
Colombia,Maize,2002,2.885,1092.9,23.4,El Niño
Colombia,"Rice, paddy",2002,3.769,1092.9,23.4,El Niño
Colombia,"Coffee, green",2002,0.521,1092.9,23.4,El Niño
Colombia,Potatoes,2002,12.273,1092.9,23.4,El Niño
Colombia,Cassava,2002,5.883,1092.9,23.4,El Niño
Colombia,Bananas,2002,6.654,1092.9,23.4,El Niño
Colombia,Avocados,2002,6.765,1092.9,23.4,El Niño
Colombia,Maize,2003,3.126,2140.8,20.0,El Niño
Colombia,"Rice, paddy",2003,3.833,2140.8,20.0,El Niño
Colombia,"Coffee, green",2003,0.635,2140.8,20.0,El Niño
Colombia,Potatoes,2003,15.438,2140.8,20.0,El Niño
Colombia,Cassava,2003,6.873,2140.8,20.0,El Niño
Colombia,Bananas,2003,5.918,2140.8,20.0,El Niño
Colombia,Avocados,2003,6.338,2140.8,20.0,El Niño
Colombia,Maize,2004,4.935,1729.4,22.3,Normal
Colombia,"Rice, paddy",2004,4.907,1729.4,22.3,Normal
Colombia,"Coffee, green",2004,0.924,1729.4,22.3,Normal
Colombia,Potatoes,2004,20.248,1729.4,22.3,Normal
Colombia,Cassava,2004,8.793,1729.4,22.3,Normal
Colombia,Bananas,2004,10.214,1729.4,22.3,Normal
Colombia,Avocados,2004,9.764,1729.4,22.3,Normal
Colombia,Maize,2005,4.451,1681.3,24.0,Normal
Colombia,"Rice, paddy",2005,5.486,1681.3,24.0,Normal
Colombia,"Coffee, green",2005,0.94,1681.3,24.0,Normal
Colombia,Potatoes,2005,20.151,1681.3,24.0,Normal
Colombia,Cassava,2005,10.149,1681.3,24.0,Normal
Colombia,Bananas,2005,9.773,1681.3,24.0,Normal
Colombia,Avocados,2005,9.053,1681.3,24.0,Normal
Colombia,Maize,2006,4.594,1265.6,17.3,Normal
Colombia,"Rice, paddy",2006,5.408,1265.6,17.3,Normal
Colombia,"Coffee, green",2006,0.863,1265.6,17.3,Normal
Colombia,Potatoes,2006,18.626,1265.6,17.3,Normal
Colombia,Cassava,2006,9.634,1265.6,17.3,Normal
Colombia,Bananas,2006,9.688,1265.6,17.3,Normal
Colombia,Avocados,2006,9.077,1265.6,17.3,Normal
Colombia,Maize,2007,4.217,1965.7,25.4,Normal
Colombia,"Rice, paddy",2007,5.024,1965.7,25.4,Normal
Colombia,"Coffee, green",2007,0.902,1965.7,25.4,Normal
Colombia,Potatoes,2007,22.558,1965.7,25.4,Normal
Colombia,Cassava,2007,11.048,1965.7,25.4,Normal
Colombia,Bananas,2007,9.851,1965.7,25.4,Normal
Colombia,Avocados,2007,9.833,1965.7,25.4,Normal
Colombia,Maize,2008,4.144,1058.5,25.1,Normal
Colombia,"Rice, paddy",2008,5.25,1058.5,25.1,Normal
Colombia,"Coffee, green",2008,0.772,1058.5,25.1,Normal
Colombia,Potatoes,2008,18.09,1058.5,25.1,Normal
Colombia,Cassava,2008,8.906,1058.5,25.1,Normal
Colombia,Bananas,2008,8.455,1058.5,25.1,Normal
Colombia,Avocados,2008,9.807,1058.5,25.1,Normal
Colombia,Maize,2009,3.264,1025.2,27.2,El Niño
Colombia,"Rice, paddy",2009,3.617,1025.2,27.2,El Niño
Colombia,"Coffee, green",2009,0.595,1025.2,27.2,El Niño
Colombia,Potatoes,2009,14.73,1025.2,27.2,El Niño
Colombia,Cassava,2009,6.062,1025.2,27.2,El Niño
Colombia,Bananas,2009,7.202,1025.2,27.2,El Niño
Colombia,Avocados,2009,6.941,1025.2,27.2,El Niño
Colombia,Maize,2010,3.126,849.3,23.1,El Niño
Colombia,"Rice, paddy",2010,3.163,849.3,23.1,El Niño
Colombia,"Coffee, green",2010,0.656,849.3,23.1,El Niño
Colombia,Potatoes,2010,12.606,849.3,23.1,El Niño
Colombia,Cassava,2010,6.871,849.3,23.1,El Niño
Colombia,Bananas,2010,7.052,849.3,23.1,El Niño
Colombia,Avocados,2010,6.32,849.3,23.1,El Niño
Colombia,Maize,2011,3.634,1155.9,16.0,La Niña
Colombia,"Rice, paddy",2011,4.065,1155.9,16.0,La Niña
Colombia,"Coffee, green",2011,0.819,1155.9,16.0,La Niña
Colombia,Potatoes,2011,19.729,1155.9,16.0,La Niña
Colombia,Cassava,2011,9.089,1155.9,16.0,La Niña
Colombia,Bananas,2011,7.826,1155.9,16.0,La Niña
Colombia,Avocados,2011,9.284,1155.9,16.0,La Niña
Colombia,Maize,2012,4.172,1555.7,19.7,La Niña
Colombia,"Rice, paddy",2012,4.268,1555.7,19.7,La Niña
Colombia,"Coffee, green",2012,0.879,1555.7,19.7,La Niña
Colombia,Potatoes,2012,19.604,1555.7,19.7,La Niña
Colombia,Cassava,2012,9.5,1555.7,19.7,La Niña
Colombia,Bananas,2012,8.83,1555.7,19.7,La Niña
Colombia,Avocados,2012,9.363,1555.7,19.7,La Niña
Colombia,Maize,2013,4.84,824.2,22.3,Normal
Colombia,"Rice, paddy",2013,4.502,824.2,22.3,Normal
Colombia,"Coffee, green",2013,0.935,824.2,22.3,Normal
Colombia,Potatoes,2013,19.851,824.2,22.3,Normal
Colombia,Cassava,2013,9.067,824.2,22.3,Normal
Colombia,Bananas,2013,9.055,824.2,22.3,Normal
Colombia,Avocados,2013,10.238,824.2,22.3,Normal
Colombia,Maize,2014,4.85,1464.7,23.7,Normal
Colombia,"Rice, paddy",2014,5.628,1464.7,23.7,Normal
Colombia,"Coffee, green",2014,0.83,1464.7,23.7,Normal
Colombia,Potatoes,2014,19.409,1464.7,23.7,Normal
Colombia,Cassava,2014,9.408,1464.7,23.7,Normal
Colombia,Bananas,2014,9.202,1464.7,23.7,Normal
Colombia,Avocados,2014,9.696,1464.7,23.7,Normal
Colombia,Maize,2015,3.176,1661.2,21.5,El Niño
Colombia,"Rice, paddy",2015,3.569,1661.2,21.5,El Niño
Colombia,"Coffee, green",2015,0.604,1661.2,21.5,El Niño
Colombia,Potatoes,2015,15.505,1661.2,21.5,El Niño
Colombia,Cassava,2015,6.69,1661.2,21.5,El Niño
Colombia,Bananas,2015,7.133,1661.2,21.5,El Niño
Colombia,Avocados,2015,7.336,1661.2,21.5,El Niño
Colombia,Maize,2016,3.362,1577.6,24.6,El Niño
Colombia,"Rice, paddy",2016,3.691,1577.6,24.6,El Niño
Colombia,"Coffee, green",2016,0.635,1577.6,24.6,El Niño
Colombia,Potatoes,2016,14.166,1577.6,24.6,El Niño
Colombia,Cassava,2016,6.905,1577.6,24.6,El Niño
Colombia,Bananas,2016,7.581,1577.6,24.6,El Niño
Colombia,Avocados,2016,7.092,1577.6,24.6,El Niño
Colombia,Maize,2017,5.564,2192.0,18.0,Normal
Colombia,"Rice, paddy",2017,6.142,2192.0,18.0,Normal
Colombia,"Coffee, green",2017,0.934,2192.0,18.0,Normal
Colombia,Potatoes,2017,22.465,2192.0,18.0,Normal
Colombia,Cassava,2017,11.226,2192.0,18.0,Normal
Colombia,Bananas,2017,11.287,2192.0,18.0,Normal
Colombia,Avocados,2017,10.756,2192.0,18.0,Normal
Colombia,Maize,2018,4.371,885.7,20.5,Normal
Colombia,"Rice, paddy",2018,5.846,885.7,20.5,Normal
Colombia,"Coffee, green",2018,0.923,885.7,20.5,Normal
Colombia,Potatoes,2018,18.875,885.7,20.5,Normal
Colombia,Cassava,2018,9.494,885.7,20.5,Normal
Colombia,Bananas,2018,8.387,885.7,20.5,Normal
Colombia,Avocados,2018,10.781,885.7,20.5,Normal
Colombia,Maize,2019,5.167,2068.8,17.3,Normal
Colombia,"Rice, paddy",2019,6.509,2068.8,17.3,Normal
Colombia,"Coffee, green",2019,0.899,2068.8,17.3,Normal
Colombia,Potatoes,2019,22.413,2068.8,17.3,Normal
Colombia,Cassava,2019,10.617,2068.8,17.3,Normal
Colombia,Bananas,2019,9.302,2068.8,17.3,Normal
Colombia,Avocados,2019,9.9,2068.8,17.3,Normal
Colombia,Maize,2020,5.054,2133.9,22.9,Normal
Colombia,"Rice, paddy",2020,5.788,2133.9,22.9,Normal
Colombia,"Coffee, green",2020,1.045,2133.9,22.9,Normal
Colombia,Potatoes,2020,23.084,2133.9,22.9,Normal
Colombia,Cassava,2020,10.526,2133.9,22.9,Normal
Colombia,Bananas,2020,9.586,2133.9,22.9,Normal
Colombia,Avocados,2020,11.88,2133.9,22.9,Normal
Colombia,Maize,2021,4.239,1052.8,16.8,La Niña
Colombia,"Rice, paddy",2021,4.318,1052.8,16.8,La Niña
Colombia,"Coffee, green",2021,0.899,1052.8,16.8,La Niña
Colombia,Potatoes,2021,20.01,1052.8,16.8,La Niña
Colombia,Cassava,2021,8.405,1052.8,16.8,La Niña
Colombia,Bananas,2021,7.951,1052.8,16.8,La Niña
Colombia,Avocados,2021,9.323,1052.8,16.8,La Niña
Colombia,Maize,2022,4.505,1299.2,25.3,La Niña
Colombia,"Rice, paddy",2022,4.933,1299.2,25.3,La Niña
Colombia,"Coffee, green",2022,0.928,1299.2,25.3,La Niña
Colombia,Potatoes,2022,19.527,1299.2,25.3,La Niña
Colombia,Cassava,2022,9.244,1299.2,25.3,La Niña
Colombia,Bananas,2022,9.267,1299.2,25.3,La Niña
Colombia,Avocados,2022,10.173,1299.2,25.3,La Niña
Colombia,Maize,2023,3.67,1676.7,24.4,El Niño
Colombia,"Rice, paddy",2023,4.238,1676.7,24.4,El Niño
Colombia,"Coffee, green",2023,0.658,1676.7,24.4,El Niño
Colombia,Potatoes,2023,17.772,1676.7,24.4,El Niño
Colombia,Cassava,2023,7.507,1676.7,24.4,El Niño
Colombia,Bananas,2023,6.665,1676.7,24.4,El Niño
Colombia,Avocados,2023,8.882,1676.7,24.4,El Niño
Brasil,Maize,1990,4.241,1228.4,18.4,Normal
Brasil,"Rice, paddy",1990,4.847,1228.4,18.4,Normal
Brasil,"Coffee, green",1990,0.837,1228.4,18.4,Normal
Brasil,Potatoes,1990,18.121,1228.4,18.4,Normal
Brasil,Cassava,1990,8.519,1228.4,18.4,Normal
Brasil,Bananas,1990,8.536,1228.4,18.4,Normal
Brasil,Avocados,1990,9.076,1228.4,18.4,Normal
Brasil,Maize,1991,4.174,964.7,20.9,Normal
Brasil,"Rice, paddy",1991,4.389,964.7,20.9,Normal
Brasil,"Coffee, green",1991,0.902,964.7,20.9,Normal
Brasil,Potatoes,1991,21.644,964.7,20.9,Normal
Brasil,Cassava,1991,8.701,964.7,20.9,Normal
Brasil,Bananas,1991,8.092,964.7,20.9,Normal
Brasil,Avocados,1991,9.46,964.7,20.9,Normal
Brasil,Maize,1992,4.608,1683.1,27.5,Normal
Brasil,"Rice, paddy",1992,5.493,1683.1,27.5,Normal
Brasil,"Coffee, green",1992,0.971,1683.1,27.5,Normal
Brasil,Potatoes,1992,21.109,1683.1,27.5,Normal
Brasil,Cassava,1992,9.175,1683.1,27.5,Normal
Brasil,Bananas,1992,9.217,1683.1,27.5,Normal
Brasil,Avocados,1992,9.209,1683.1,27.5,Normal
Brasil,Maize,1993,4.12,823.3,25.0,Normal
Brasil,"Rice, paddy",1993,4.354,823.3,25.0,Normal
Brasil,"Coffee, green",1993,0.898,823.3,25.0,Normal
Brasil,Potatoes,1993,19.515,823.3,25.0,Normal
Brasil,Cassava,1993,8.756,823.3,25.0,Normal
Brasil,Bananas,1993,8.292,823.3,25.0,Normal
Brasil,Avocados,1993,8.76,823.3,25.0,Normal
Brasil,Maize,1994,4.215,1072.4,26.1,Normal
Brasil,"Rice, paddy",1994,5.226,1072.4,26.1,Normal
Brasil,"Coffee, green",1994,0.771,1072.4,26.1,Normal
Brasil,Potatoes,1994,22.821,1072.4,26.1,Normal
Brasil,Cassava,1994,9.968,1072.4,26.1,Normal
Brasil,Bananas,1994,10.041,1072.4,26.1,Normal
Brasil,Avocados,1994,9.489,1072.4,26.1,Normal
Brasil,Maize,1995,5.198,1934.9,26.2,Normal
Brasil,"Rice, paddy",1995,5.031,1934.9,26.2,Normal
Brasil,"Coffee, green",1995,0.821,1934.9,26.2,Normal
Brasil,Potatoes,1995,20.529,1934.9,26.2,Normal
Brasil,Cassava,1995,9.566,1934.9,26.2,Normal
Brasil,Bananas,1995,10.448,1934.9,26.2,Normal
Brasil,Avocados,1995,10.676,1934.9,26.2,Normal
Brasil,Maize,1996,4.459,1536.3,19.0,Normal
Brasil,"Rice, paddy",1996,5.085,1536.3,19.0,Normal
Brasil,"Coffee, green",1996,0.89,1536.3,19.0,Normal
Brasil,Potatoes,1996,23.142,1536.3,19.0,Normal
Brasil,Cassava,1996,9.724,1536.3,19.0,Normal
Brasil,Bananas,1996,10.188,1536.3,19.0,Normal
Brasil,Avocados,1996,10.311,1536.3,19.0,Normal
Brasil,Maize,1997,3.61,2039.6,18.8,El Niño
Brasil,"Rice, paddy",1997,3.712,2039.6,18.8,El Niño
Brasil,"Coffee, green",1997,0.658,2039.6,18.8,El Niño
Brasil,Potatoes,1997,16.465,2039.6,18.8,El Niño
Brasil,Cassava,1997,8.196,2039.6,18.8,El Niño
Brasil,Bananas,1997,6.776,2039.6,18.8,El Niño
Brasil,Avocados,1997,7.237,2039.6,18.8,El Niño
Brasil,Maize,1998,3.585,1684.2,20.6,El Niño
Brasil,"Rice, paddy",1998,4.377,1684.2,20.6,El Niño
Brasil,"Coffee, green",1998,0.675,1684.2,20.6,El Niño
Brasil,Potatoes,1998,16.794,1684.2,20.6,El Niño
Brasil,Cassava,1998,7.938,1684.2,20.6,El Niño
Brasil,Bananas,1998,7.725,1684.2,20.6,El Niño
Brasil,Avocados,1998,7.904,1684.2,20.6,El Niño
Brasil,Maize,1999,4.593,890.7,20.1,La Niña
Brasil,"Rice, paddy",1999,4.288,890.7,20.1,La Niña
Brasil,"Coffee, green",1999,0.787,890.7,20.1,La Niña
Brasil,Potatoes,1999,20.02,890.7,20.1,La Niña
Brasil,Cassava,1999,8.916,890.7,20.1,La Niña
Brasil,Bananas,1999,7.969,890.7,20.1,La Niña
Brasil,Avocados,1999,7.855,890.7,20.1,La Niña
Brasil,Maize,2000,4.82,1306.3,18.2,La Niña
Brasil,"Rice, paddy",2000,5.134,1306.3,18.2,La Niña
Brasil,"Coffee, green",2000,0.862,1306.3,18.2,La Niña
Brasil,Potatoes,2000,19.229,1306.3,18.2,La Niña
Brasil,Cassava,2000,8.359,1306.3,18.2,La Niña
Brasil,Bananas,2000,8.194,1306.3,18.2,La Niña
Brasil,Avocados,2000,8.69,1306.3,18.2,La Niña
Brasil,Maize,2001,4.371,1481.5,21.5,La Niña
Brasil,"Rice, paddy",2001,4.993,1481.5,21.5,La Niña
Brasil,"Coffee, green",2001,0.93,1481.5,21.5,La Niña
Brasil,Potatoes,2001,19.022,1481.5,21.5,La Niña
Brasil,Cassava,2001,9.701,1481.5,21.5,La Niña
Brasil,Bananas,2001,8.329,1481.5,21.5,La Niña
Brasil,Avocados,2001,9.364,1481.5,21.5,La Niña
Brasil,Maize,2002,3.329,1080.1,22.7,El Niño
Brasil,"Rice, paddy",2002,3.528,1080.1,22.7,El Niño
Brasil,"Coffee, green",2002,0.712,1080.1,22.7,El Niño
Brasil,Potatoes,2002,14.459,1080.1,22.7,El Niño
Brasil,Cassava,2002,7.259,1080.1,22.7,El Niño
Brasil,Bananas,2002,7.017,1080.1,22.7,El Niño
Brasil,Avocados,2002,7.375,1080.1,22.7,El Niño
Brasil,Maize,2003,3.599,1815.9,23.2,El Niño
Brasil,"Rice, paddy",2003,3.8,1815.9,23.2,El Niño
Brasil,"Coffee, green",2003,0.755,1815.9,23.2,El Niño
Brasil,Potatoes,2003,16.431,1815.9,23.2,El Niño
Brasil,Cassava,2003,8.796,1815.9,23.2,El Niño
Brasil,Bananas,2003,7.38,1815.9,23.2,El Niño
Brasil,Avocados,2003,8.464,1815.9,23.2,El Niño
Brasil,Maize,2004,5.286,2115.4,23.8,Normal
Brasil,"Rice, paddy",2004,6.171,2115.4,23.8,Normal
Brasil,"Coffee, green",2004,1.023,2115.4,23.8,Normal
Brasil,Potatoes,2004,24.784,2115.4,23.8,Normal
Brasil,Cassava,2004,10.498,2115.4,23.8,Normal
Brasil,Bananas,2004,11.31,2115.4,23.8,Normal
Brasil,Avocados,2004,10.493,2115.4,23.8,Normal
Brasil,Maize,2005,4.41,820.5,23.5,Normal
Brasil,"Rice, paddy",2005,5.818,820.5,23.5,Normal
Brasil,"Coffee, green",2005,0.991,820.5,23.5,Normal
Brasil,Potatoes,2005,24.186,820.5,23.5,Normal
Brasil,Cassava,2005,10.727,820.5,23.5,Normal
Brasil,Bananas,2005,9.671,820.5,23.5,Normal
Brasil,Avocados,2005,9.954,820.5,23.5,Normal
Brasil,Maize,2006,5.066,1487.3,18.3,Normal
Brasil,"Rice, paddy",2006,6.223,1487.3,18.3,Normal
Brasil,"Coffee, green",2006,0.919,1487.3,18.3,Normal
Brasil,Potatoes,2006,22.317,1487.3,18.3,Normal
Brasil,Cassava,2006,11.84,1487.3,18.3,Normal
Brasil,Bananas,2006,9.701,1487.3,18.3,Normal
Brasil,Avocados,2006,10.49,1487.3,18.3,Normal
Brasil,Maize,2007,5.076,824.6,24.6,Normal
Brasil,"Rice, paddy",2007,5.812,824.6,24.6,Normal
Brasil,"Coffee, green",2007,0.862,824.6,24.6,Normal
Brasil,Potatoes,2007,23.212,824.6,24.6,Normal
Brasil,Cassava,2007,10.732,824.6,24.6,Normal
Brasil,Bananas,2007,9.555,824.6,24.6,Normal
Brasil,Avocados,2007,10.333,824.6,24.6,Normal
Brasil,Maize,2008,5.568,1595.1,21.9,Normal
Brasil,"Rice, paddy",2008,5.594,1595.1,21.9,Normal
Brasil,"Coffee, green",2008,1.02,1595.1,21.9,Normal
Brasil,Potatoes,2008,23.942,1595.1,21.9,Normal
Brasil,Cassava,2008,11.336,1595.1,21.9,Normal
Brasil,Bananas,2008,10.69,1595.1,21.9,Normal
Brasil,Avocados,2008,12.49,1595.1,21.9,Normal
Brasil,Maize,2009,4.209,1946.1,23.6,El Niño
Brasil,"Rice, paddy",2009,4.008,1946.1,23.6,El Niño
Brasil,"Coffee, green",2009,0.794,1946.1,23.6,El Niño
Brasil,Potatoes,2009,17.947,1946.1,23.6,El Niño
Brasil,Cassava,2009,8.131,1946.1,23.6,El Niño
Brasil,Bananas,2009,7.311,1946.1,23.6,El Niño
Brasil,Avocados,2009,7.636,1946.1,23.6,El Niño
Brasil,Maize,2010,3.245,862.8,17.9,El Niño
Brasil,"Rice, paddy",2010,4.344,862.8,17.9,El Niño
Brasil,"Coffee, green",2010,0.644,862.8,17.9,El Niño
Brasil,Potatoes,2010,15.939,862.8,17.9,El Niño
Brasil,Cassava,2010,8.374,862.8,17.9,El Niño
Brasil,Bananas,2010,6.638,862.8,17.9,El Niño
Brasil,Avocados,2010,8.398,862.8,17.9,El Niño
Brasil,Maize,2011,4.436,1695.4,20.1,La Niña
Brasil,"Rice, paddy",2011,4.956,1695.4,20.1,La Niña
Brasil,"Coffee, green",2011,0.88,1695.4,20.1,La Niña
Brasil,Potatoes,2011,20.082,1695.4,20.1,La Niña
Brasil,Cassava,2011,9.801,1695.4,20.1,La Niña
Brasil,Bananas,2011,8.721,1695.4,20.1,La Niña
Brasil,Avocados,2011,10.616,1695.4,20.1,La Niña
Brasil,Maize,2012,4.309,1003.4,25.1,La Niña
Brasil,"Rice, paddy",2012,5.57,1003.4,25.1,La Niña
Brasil,"Coffee, green",2012,0.802,1003.4,25.1,La Niña
Brasil,Potatoes,2012,21.9,1003.4,25.1,La Niña
Brasil,Cassava,2012,9.426,1003.4,25.1,La Niña
Brasil,Bananas,2012,9.427,1003.4,25.1,La Niña
Brasil,Avocados,2012,8.733,1003.4,25.1,La Niña
Brasil,Maize,2013,5.531,1493.3,17.8,Normal
Brasil,"Rice, paddy",2013,5.706,1493.3,17.8,Normal
Brasil,"Coffee, green",2013,1.025,1493.3,17.8,Normal
Brasil,Potatoes,2013,22.638,1493.3,17.8,Normal
Brasil,Cassava,2013,11.0,1493.3,17.8,Normal
Brasil,Bananas,2013,11.352,1493.3,17.8,Normal
Brasil,Avocados,2013,13.141,1493.3,17.8,Normal
Brasil,Maize,2014,5.614,1428.9,24.2,Normal
Brasil,"Rice, paddy",2014,6.254,1428.9,24.2,Normal
Brasil,"Coffee, green",2014,0.934,1428.9,24.2,Normal
Brasil,Potatoes,2014,22.889,1428.9,24.2,Normal
Brasil,Cassava,2014,12.904,1428.9,24.2,Normal
Brasil,Bananas,2014,10.882,1428.9,24.2,Normal
Brasil,Avocados,2014,12.142,1428.9,24.2,Normal
Brasil,Maize,2015,3.96,1539.5,20.5,El Niño
Brasil,"Rice, paddy",2015,4.64,1539.5,20.5,El Niño
Brasil,"Coffee, green",2015,0.697,1539.5,20.5,El Niño
Brasil,Potatoes,2015,17.819,1539.5,20.5,El Niño
Brasil,Cassava,2015,8.538,1539.5,20.5,El Niño
Brasil,Bananas,2015,9.087,1539.5,20.5,El Niño
Brasil,Avocados,2015,8.34,1539.5,20.5,El Niño
Brasil,Maize,2016,3.717,1702.4,17.6,El Niño
Brasil,"Rice, paddy",2016,5.085,1702.4,17.6,El Niño
Brasil,"Coffee, green",2016,0.821,1702.4,17.6,El Niño
Brasil,Potatoes,2016,17.855,1702.4,17.6,El Niño
Brasil,Cassava,2016,8.828,1702.4,17.6,El Niño
Brasil,Bananas,2016,7.574,1702.4,17.6,El Niño
Brasil,Avocados,2016,9.256,1702.4,17.6,El Niño
Brasil,Maize,2017,5.437,898.5,25.1,Normal
Brasil,"Rice, paddy",2017,5.728,898.5,25.1,Normal
Brasil,"Coffee, green",2017,1.096,898.5,25.1,Normal
Brasil,Potatoes,2017,27.018,898.5,25.1,Normal
Brasil,Cassava,2017,10.752,898.5,25.1,Normal
Brasil,Bananas,2017,11.544,898.5,25.1,Normal
Brasil,Avocados,2017,12.112,898.5,25.1,Normal
Brasil,Maize,2018,5.886,1846.1,27.5,Normal
Brasil,"Rice, paddy",2018,6.92,1846.1,27.5,Normal
Brasil,"Coffee, green",2018,1.193,1846.1,27.5,Normal
Brasil,Potatoes,2018,26.44,1846.1,27.5,Normal
Brasil,Cassava,2018,12.491,1846.1,27.5,Normal
Brasil,Bananas,2018,11.295,1846.1,27.5,Normal
Brasil,Avocados,2018,13.393,1846.1,27.5,Normal
Brasil,Maize,2019,5.799,1760.7,21.4,Normal
Brasil,"Rice, paddy",2019,5.97,1760.7,21.4,Normal
Brasil,"Coffee, green",2019,0.977,1760.7,21.4,Normal
