fecha,Año,Mes,Mes_Nombre,Produccion_sacos_60kg,Exportaciones_sacos_60kg,Precio_Interno_COP,Precio_NY_USD_lb,Fenomeno_ENSO
2006-10-01,2006,10,Oct,79522.0,57660.0,339149.0,85.63,Normal
2006-11-01,2006,11,Nov,71574.0,59502.0,347437.0,86.108,Normal
2006-12-01,2006,12,Dic,69355.0,48057.0,348120.0,97.772,Normal
2007-01-01,2007,1,Ene,76793.0,54556.0,376195.0,95.139,Normal
2007-02-01,2007,2,Feb,78463.0,62999.0,377764.0,96.137,Normal
2007-03-01,2007,3,Mar,81885.0,63336.0,358892.0,92.953,Normal
2007-04-01,2007,4,Abr,61966.0,46130.0,340199.0,94.784,Normal
2007-05-01,2007,5,May,66889.0,52067.0,343101.0,94.704,Normal
2007-06-01,2007,6,Jun,65528.0,47078.0,369481.0,103.447,Normal
2007-07-01,2007,7,Jul,78479.0,56138.0,365124.0,98.988,Normal
2007-08-01,2007,8,Ago,87695.0,66937.0,385003.0,95.27,Normal
2007-09-01,2007,9,Sep,85570.0,59648.0,424070.0,113.647,Normal
2007-10-01,2007,10,Oct,75399.0,62012.0,389282.0,106.046,Normal
2007-11-01,2007,11,Nov,80944.0,57821.0,385806.0,97.191,Normal
2007-12-01,2007,12,Dic,67765.0,54706.0,344493.0,88.429,Normal
2008-01-01,2008,1,Ene,77514.0,56327.0,408335.0,106.814,Normal
2008-02-01,2008,2,Feb,83286.0,59776.0,383751.0,105.688,Normal
2008-03-01,2008,3,Mar,71750.0,50007.0,422098.0,109.581,Normal
2008-04-01,2008,4,Abr,75858.0,51676.0,398704.0,107.168,Normal
2008-05-01,2008,5,May,84990.0,61270.0,360339.0,91.472,Normal
2008-06-01,2008,6,Jun,85460.0,59036.0,435283.0,113.406,Normal
2008-07-01,2008,7,Jul,77758.0,64972.0,422335.0,109.387,Normal
2008-08-01,2008,8,Ago,78800.0,53971.0,374092.0,93.622,Normal
2008-09-01,2008,9,Sep,65519.0,44943.0,414232.0,105.338,Normal
2008-10-01,2008,10,Oct,76717.0,55304.0,410388.0,111.456,Normal
2008-11-01,2008,11,Nov,80749.0,64276.0,349775.0,85.903,Normal
2008-12-01,2008,12,Dic,72730.0,60949.0,361382.0,93.248,Normal
2009-01-01,2009,1,Ene,50466.0,42113.0,555167.0,144.778,El Niño
2009-02-01,2009,2,Feb,63140.0,49286.0,520591.0,145.338,El Niño
2009-03-01,2009,3,Mar,59263.0,42356.0,491688.0,121.872,El Niño
2009-04-01,2009,4,Abr,42492.0,34892.0,528150.0,136.095,El Niño
2009-05-01,2009,5,May,70391.0,58039.0,502766.0,129.765,El Niño
2009-06-01,2009,6,Jun,60074.0,42234.0,467086.0,129.643,El Niño
2009-07-01,2009,7,Jul,53537.0,41651.0,539091.0,150.826,El Niño
2009-08-01,2009,8,Ago,44719.0,36626.0,552426.0,146.223,El Niño
2009-09-01,2009,9,Sep,63667.0,46225.0,505772.0,126.618,El Niño
2009-10-01,2009,10,Oct,45723.0,35439.0,516714.0,137.287,El Niño
2009-11-01,2009,11,Nov,55434.0,43582.0,472433.0,123.095,El Niño
2009-12-01,2009,12,Dic,46146.0,37125.0,556246.0,150.979,El Niño
2010-01-01,2010,1,Ene,58304.0,45761.0,469521.0,122.986,El Niño
2010-02-01,2010,2,Feb,68282.0,50573.0,520965.0,145.332,El Niño
2010-03-01,2010,3,Mar,47477.0,38438.0,583121.0,143.014,El Niño
2010-04-01,2010,4,Abr,45089.0,32295.0,575950.0,155.936,El Niño
2010-05-01,2010,5,May,67045.0,47813.0,552248.0,138.391,El Niño
2010-06-01,2010,6,Jun,72808.0,52894.0,543934.0,152.638,El Niño
2010-07-01,2010,7,Jul,46144.0,33638.0,548204.0,137.167,El Niño
2010-08-01,2010,8,Ago,53019.0,44233.0,515079.0,133.866,El Niño
2010-09-01,2010,9,Sep,48204.0,33806.0,463350.0,127.903,El Niño
2010-10-01,2010,10,Oct,38055.0,26839.0,585009.0,154.715,El Niño
2010-11-01,2010,11,Nov,47650.0,32831.0,511385.0,133.307,El Niño
2010-12-01,2010,12,Dic,57753.0,44391.0,559802.0,150.357,El Niño
2011-01-01,2011,1,Ene,58549.0,47507.0,414444.0,111.151,La Niña
2011-02-01,2011,2,Feb,62189.0,46452.0,438794.0,120.345,La Niña
2011-03-01,2011,3,Mar,51109.0,36534.0,443059.0,121.879,La Niña
2011-04-01,2011,4,Abr,68884.0,54657.0,478500.0,132.27,La Niña
2011-05-01,2011,5,May,64742.0,52226.0,416916.0,115.609,La Niña
2011-06-01,2011,6,Jun,55437.0,40074.0,490233.0,122.202,La Niña
2011-07-01,2011,7,Jul,74880.0,51329.0,452141.0,115.225,La Niña
2011-08-01,2011,8,Ago,62860.0,49551.0,524461.0,145.762,La Niña
2011-09-01,2011,9,Sep,67754.0,49852.0,429713.0,114.408,La Niña
2011-10-01,2011,10,Oct,78143.0,56496.0,511023.0,127.349,La Niña
2011-11-01,2011,11,Nov,55809.0,40303.0,481710.0,121.991,La Niña
2011-12-01,2011,12,Dic,67853.0,52580.0,457925.0,121.271,La Niña
2012-01-01,2012,1,Ene,69499.0,47698.0,434478.0,115.98,La Niña
2012-02-01,2012,2,Feb,63717.0,48475.0,436034.0,122.003,La Niña
2012-03-01,2012,3,Mar,73164.0,51853.0,487966.0,127.201,La Niña
2012-04-01,2012,4,Abr,78111.0,65027.0,461243.0,117.001,La Niña
2012-05-01,2012,5,May,71759.0,59870.0,512629.0,136.948,La Niña
2012-06-01,2012,6,Jun,65626.0,53305.0,460238.0,117.579,La Niña
2012-07-01,2012,7,Jul,70101.0,57527.0,495346.0,138.784,La Niña
2012-08-01,2012,8,Ago,59335.0,40918.0,520454.0,140.116,La Niña
2012-09-01,2012,9,Sep,57178.0,41786.0,519964.0,138.714,La Niña
2012-10-01,2012,10,Oct,62651.0,46635.0,466693.0,126.811,La Niña
2012-11-01,2012,11,Nov,77213.0,56515.0,423485.0,108.62,La Niña
2012-12-01,2012,12,Dic,57955.0,42326.0,507988.0,136.176,La Niña
2013-01-01,2013,1,Ene,83663.0,62427.0,447833.0,115.761,Normal
2013-02-01,2013,2,Feb,85309.0,58879.0,443774.0,122.927,Normal
2013-03-01,2013,3,Mar,71080.0,58937.0,444008.0,113.109,Normal
2013-04-01,2013,4,Abr,83301.0,57747.0,462429.0,122.09,Normal
2013-05-01,2013,5,May,76078.0,62782.0,449193.0,121.773,Normal
2013-06-01,2013,6,Jun,83008.0,64234.0,457543.0,122.648,Normal
2013-07-01,2013,7,Jul,80251.0,65062.0,398776.0,108.408,Normal
2013-08-01,2013,8,Ago,82473.0,59131.0,465363.0,129.381,Normal
2013-09-01,2013,9,Sep,73000.0,57509.0,454098.0,116.376,Normal
2013-10-01,2013,10,Oct,71730.0,53229.0,458135.0,112.126,Normal
2013-11-01,2013,11,Nov,72126.0,54131.0,456109.0,125.013,Normal
2013-12-01,2013,12,Dic,72941.0,59473.0,474908.0,121.704,Normal
2014-01-01,2014,1,Ene,92532.0,63530.0,426945.0,112.286,Normal
2014-02-01,2014,2,Feb,75648.0,62947.0,393852.0,107.95,Normal
2014-03-01,2014,3,Mar,70108.0,51864.0,497683.0,136.171,Normal
2014-04-01,2014,4,Abr,67908.0,55566.0,440307.0,119.176,Normal
2014-05-01,2014,5,May,81152.0,62989.0,403401.0,103.218,Normal
2014-06-01,2014,6,Jun,75837.0,60854.0,487674.0,125.994,Normal
2014-07-01,2014,7,Jul,64342.0,53898.0,426172.0,111.619,Normal
2014-08-01,2014,8,Ago,88753.0,62871.0,472743.0,115.932,Normal
2014-09-01,2014,9,Sep,89282.0,73432.0,446706.0,116.468,Normal
2014-10-01,2014,10,Oct,67893.0,56118.0,425770.0,110.583,Normal
2014-11-01,2014,11,Nov,71183.0,57802.0,477396.0,117.422,Normal
2014-12-01,2014,12,Dic,72815.0,58250.0,430869.0,120.473,Normal
2015-01-01,2015,1,Ene,61514.0,43596.0,567545.0,138.971,El Niño
2015-02-01,2015,2,Feb,51532.0,38163.0,558663.0,156.178,El Niño
2015-03-01,2015,3,Mar,49978.0,40091.0,516028.0,143.689,El Niño
2015-04-01,2015,4,Abr,43962.0,32911.0,545754.0,136.021,El Niño
2015-05-01,2015,5,May,45249.0,36088.0,585664.0,155.273,El Niño
2015-06-01,2015,6,Jun,52970.0,39018.0,546788.0,146.683,El Niño
2015-07-01,2015,7,Jul,45636.0,34502.0,630616.0,158.107,El Niño
2015-08-01,2015,8,Ago,56067.0,46787.0,529680.0,135.126,El Niño
2015-09-01,2015,9,Sep,52555.0,41631.0,566455.0,138.839,El Niño
2015-10-01,2015,10,Oct,60604.0,44145.0,559769.0,154.899,El Niño
2015-11-01,2015,11,Nov,36278.0,28097.0,549704.0,137.604,El Niño
2015-12-01,2015,12,Dic,57811.0,42027.0,546926.0,146.102,El Niño
2016-01-01,2016,1,Ene,54854.0,45694.0,615364.0,167.942,El Niño
2016-02-01,2016,2,Feb,35282.0,28216.0,580415.0,162.357,El Niño
2016-03-01,2016,3,Mar,33015.0,27164.0,533770.0,135.479,El Niño
2016-04-01,2016,4,Abr,53855.0,41250.0,531766.0,146.715,El Niño
2016-05-01,2016,5,May,64929.0,48872.0,641870.0,171.064,El Niño
2016-06-01,2016,6,Jun,50395.0,41842.0,598754.0,162.541,El Niño
2016-07-01,2016,7,Jul,50309.0,41245.0,593907.0,152.503,El Niño
2016-08-01,2016,8,Ago,52368.0,36183.0,540935.0,141.305,El Niño
2016-09-01,2016,9,Sep,50336.0,37322.0,639530.0,170.886,El Niño
2016-10-01,2016,10,Oct,46002.0,36570.0,594228.0,148.848,El Niño
2016-11-01,2016,11,Nov,55778.0,39029.0,561272.0,140.46,El Niño
2016-12-01,2016,12,Dic,59204.0,45829.0,634211.0,164.111,El Niño
2017-01-01,2017,1,Ene,82105.0,63467.0,515543.0,136.135,Normal
2017-02-01,2017,2,Feb,71663.0,57323.0,508923.0,132.058,Normal
2017-03-01,2017,3,Mar,75758.0,51714.0,435391.0,120.083,Normal
2017-04-01,2017,4,Abr,73822.0,60731.0,481883.0,126.538,Normal
2017-05-01,2017,5,May,73332.0,53397.0,498488.0,122.02,Normal
2017-06-01,2017,6,Jun,79872.0,63742.0,459349.0,114.958,Normal
2017-07-01,2017,7,Jul,63107.0,49148.0,424711.0,118.838,Normal
2017-08-01,2017,8,Ago,75199.0,58121.0,451511.0,126.364,Normal
2017-09-01,2017,9,Sep,85660.0,65000.0,436552.0,112.744,Normal
2017-10-01,2017,10,Oct,84266.0,68098.0,469703.0,122.926,Normal
2017-11-01,2017,11,Nov,81328.0,56209.0,481214.0,127.572,Normal
2017-12-01,2017,12,Dic,75668.0,54049.0,481598.0,126.222,Normal
2018-01-01,2018,1,Ene,92665.0,71637.0,454192.0,115.19,Normal
2018-02-01,2018,2,Feb,69169.0,48393.0,475805.0,117.101,Normal
2018-03-01,2018,3,Mar,65705.0,54792.0,471234.0,124.395,Normal
2018-04-01,2018,4,Abr,67602.0,56154.0,488151.0,136.035,Normal
2018-05-01,2018,5,May,84244.0,65075.0,520819.0,127.799,Normal
2018-06-01,2018,6,Jun,79029.0,59711.0,536799.0,139.159,Normal
2018-07-01,2018,7,Jul,64116.0,46957.0,452175.0,127.079,Normal
2018-08-01,2018,8,Ago,59926.0,45800.0,466750.0,128.818,Normal
2018-09-01,2018,9,Sep,58920.0,41141.0,484748.0,120.957,Normal
2018-10-01,2018,10,Oct,77512.0,64087.0,504454.0,136.945,Normal
2018-11-01,2018,11,Nov,73686.0,56133.0,424455.0,106.901,Normal
2018-12-01,2018,12,Dic,69243.0,48241.0,524587.0,128.414,Normal
2019-01-01,2019,1,Ene,65464.0,54151.0,519044.0,127.831,Normal
2019-02-01,2019,2,Feb,73648.0,61827.0,478695.0,130.076,Normal
2019-03-01,2019,3,Mar,70693.0,56265.0,467711.0,117.308,Normal
2019-04-01,2019,4,Abr,71524.0,51717.0,493856.0,135.952,Normal
2019-05-01,2019,5,May,68395.0,51282.0,487030.0,134.491,Normal
2019-06-01,2019,6,Jun,76724.0,60025.0,505777.0,141.518,Normal
2019-07-01,2019,7,Jul,94283.0,79009.0,477147.0,129.169,Normal
2019-08-01,2019,8,Ago,78931.0,54403.0,466372.0,114.907,Normal
2019-09-01,2019,9,Sep,69872.0,49915.0,480989.0,128.896,Normal
2019-10-01,2019,10,Oct,69334.0,49231.0,456974.0,119.772,Normal
2019-11-01,2019,11,Nov,74352.0,57436.0,480848.0,122.238,Normal
2019-12-01,2019,12,Dic,82951.0,59244.0,473729.0,125.919,Normal
2020-01-01,2020,1,Ene,83474.0,67175.0,470578.0,119.605,Normal
2020-02-01,2020,2,Feb,84630.0,62285.0,458037.0,122.186,Normal
2020-03-01,2020,3,Mar,78089.0,56763.0,543568.0,142.047,Normal
2020-04-01,2020,4,Abr,67532.0,49826.0,467397.0,114.768,Normal
2020-05-01,2020,5,May,74175.0,52132.0,534664.0,146.854,Normal
2020-06-01,2020,6,Jun,79453.0,63124.0,543218.0,151.022,Normal
2020-07-01,2020,7,Jul,74283.0,57598.0,514413.0,142.214,Normal
2020-08-01,2020,8,Ago,64848.0,45919.0,465883.0,118.368,Normal
2020-09-01,2020,9,Sep,75443.0,58740.0,512646.0,128.68,Normal
2020-10-01,2020,10,Oct,97460.0,73326.0,522369.0,137.8,Normal
2020-11-01,2020,11,Nov,78127.0,59660.0,529847.0,141.744,Normal
2020-12-01,2020,12,Dic,83783.0,67588.0,487349.0,127.68,Normal
2021-01-01,2021,1,Ene,74162.0,59747.0,597761.0,157.585,La Niña
2021-02-01,2021,2,Feb,78113.0,59331.0,612913.0,171.604,La Niña
2021-03-01,2021,3,Mar,60513.0,46490.0,615173.0,172.868,La Niña
2021-04-01,2021,4,Abr,70216.0,48695.0,600019.0,155.578,La Niña
2021-05-01,2021,5,May,75944.0,56130.0,601459.0,161.679,La Niña
2021-06-01,2021,6,Jun,66507.0,46566.0,580603.0,147.119,La Niña
2021-07-01,2021,7,Jul,57307.0,39503.0,522212.0,144.602,La Niña
2021-08-01,2021,8,Ago,61465.0,44651.0,541203.0,136.564,La Niña
2021-09-01,2021,9,Sep,79573.0,61858.0,530167.0,143.873,La Niña
2021-10-01,2021,10,Oct,42553.0,32922.0,552819.0,145.526,La Niña
2021-11-01,2021,11,Nov,71015.0,55662.0,611325.0,156.909,La Niña
2021-12-01,2021,12,Dic,59363.0,44692.0,628473.0,159.967,La Niña
2022-01-01,2022,1,Ene,79341.0,58478.0,628327.0,159.16,La Niña
2022-02-01,2022,2,Feb,59626.0,49334.0,597773.0,150.334,La Niña
2022-03-01,2022,3,Mar,65131.0,49557.0,621864.0,160.838,La Niña
2022-04-01,2022,4,Abr,77256.0,63666.0,607554.0,155.859,La Niña
2022-05-01,2022,5,May,53699.0,43198.0,536078.0,135.161,La Niña
2022-06-01,2022,6,Jun,64216.0,48077.0,621001.0,174.748,La Niña
2022-07-01,2022,7,Jul,61110.0,48838.0,562442.0,147.791,La Niña
2022-08-01,2022,8,Ago,71953.0,51724.0,531959.0,149.251,La Niña
2022-09-01,2022,9,Sep,69735.0,55773.0,577099.0,155.294,La Niña
2022-10-01,2022,10,Oct,60234.0,44370.0,571690.0,155.802,La Niña
2022-11-01,2022,11,Nov,74537.0,57574.0,605201.0,156.338,La Niña
2022-12-01,2022,12,Dic,60753.0,48218.0,539096.0,133.751,La Niña
2023-01-01,2023,1,Ene,57787.0,42659.0,658421.0,178.207,El Niño
2023-02-01,2023,2,Feb,53287.0,39333.0,622548.0,159.042,El Niño
2023-03-01,2023,3,Mar,44931.0,36718.0,682444.0,179.947,El Niño
2023-04-01,2023,4,Abr,56730.0,39260.0,704267.0,184.01,El Niño
2023-05-01,2023,5,May,55624.0,40381.0,639114.0,158.222,El Niño
2023-06-01,2023,6,Jun,47386.0,36064.0,643839.0,171.439,El Niño
2023-07-01,2023,7,Jul,55543.0,42541.0,672759.0,185.291,El Niño
2023-08-01,2023,8,Ago,49584.0,35098.0,649017.0,172.033,El Niño
2023-09-01,2023,9,Sep,54218.0,43436.0,728295.0,192.148,El Niño
2023-10-01,2023,10,Oct,59437.0,44285.0,698448.0,184.59,El Niño
2023-11-01,2023,11,Nov,68925.0,47969.0,659986.0,180.701,El Niño
2023-12-01,2023,12,Dic,54520.0,45362.0,704487.0,183.541,El Niño
2024-01-01,2024,1,Ene,51894.0,41711.0,751759.0,208.112,El Niño
2024-02-01,2024,2,Feb,57933.0,44916.0,638994.0,158.589,El Niño
2024-03-01,2024,3,Mar,48924.0,33462.0,725732.0,201.76,El Niño
2024-04-01,2024,4,Abr,46051.0,34088.0,615409.0,152.452,El Niño
2024-05-01,2024,5,May,49772.0,38068.0,749434.0,209.602,El Niño
2024-06-01,2024,6,Jun,57170.0,43032.0,651561.0,176.126,El Niño
2024-07-01,2024,7,Jul,51719.0,36145.0,750698.0,203.324,El Niño
2024-08-01,2024,8,Ago,63628.0,44299.0,661085.0,171.209,El Niño
2024-09-01,2024,9,Sep,61242.0,48670.0,687670.0,169.448,El Niño
2024-10-01,2024,10,Oct,51991.0,35938.0,695517.0,177.102,El Niño
2024-11-01,2024,11,Nov,64651.0,53647.0,696107.0,191.145,El Niño
2024-12-01,2024,12,Dic,56317.0,41800.0,629477.0,169.559,El Niño
