cultivo,region,temperatura_c,humedad_suelo_pct,ph_suelo,rendimiento_t_ha,alerta_calor,alerta_hidrico
Plátano,Valle del Cauca,21.4,59.7,6.47,8.066,0,0
Maíz,Eje Cafetero,29.9,79.9,5.04,1.9,0,0
Café,Región Andina,25.1,37.5,4.51,0.424,0,0
Maíz,Llanos Orientales,15.3,34.6,5.96,0.792,0,0
Café,Eje Cafetero,26.0,80.5,6.81,1.075,0,0
Maíz,Eje Cafetero,20.2,81.5,6.74,2.013,0,0
Papa,Región Andina,19.4,60.5,6.85,21.295,0,0
Maíz,Región Caribe,23.5,71.1,6.2,1.906,0,0
Café,Valle del Cauca,27.7,55.0,4.0,0.711,0,0
Maíz,Región Caribe,22.1,20.4,6.19,0.647,0,1
Café,Eje Cafetero,18.9,86.5,5.28,0.996,0,0
Café,Región Caribe,25.6,61.1,6.71,0.654,0,0
Café,Valle del Cauca,26.4,53.1,6.9,0.659,0,0
Café,Región Caribe,26.7,46.6,5.6,0.645,0,0
Plátano,Valle del Cauca,26.5,30.0,7.5,3.343,0,0
Café,Región Andina,21.0,39.7,6.36,0.47,0,0
Papa,Llanos Orientales,35.4,49.2,6.92,11.003,1,0
Maíz,Región Andina,24.1,38.3,6.7,0.901,0,0
Café,Región Andina,17.9,66.2,6.57,0.82,0,0
Arroz,Región Andina,17.6,22.9,6.72,1.495,0,1
Arroz,Eje Cafetero,23.6,56.9,4.83,4.827,0,0
Café,Eje Cafetero,27.4,40.8,6.43,0.467,0,0
Arroz,Región Andina,22.2,88.7,6.55,8.051,0,0
Café,Llanos Orientales,24.4,19.7,5.88,0.294,0,1
Arroz,Región Caribe,22.3,49.0,5.49,3.603,0,0
Arroz,Región Caribe,25.9,50.8,6.23,3.786,0,0
Café,Región Andina,15.5,62.5,6.98,0.692,0,0
Papa,Eje Cafetero,17.1,70.1,7.32,23.422,0,0
Papa,Eje Cafetero,22.6,48.0,5.59,16.348,0,0
Maíz,Eje Cafetero,18.4,53.9,7.31,1.543,0,0
Café,Valle del Cauca,19.9,65.3,5.53,0.952,0,0
Maíz,Región Andina,21.1,43.1,5.93,1.366,0,0
Maíz,Región Caribe,28.1,41.5,6.12,1.048,0,0
Arroz,Valle del Cauca,29.9,49.9,7.36,2.799,0,0
Café,Región Andina,26.4,81.0,4.95,0.843,0,0
Café,Región Andina,14.5,87.8,7.29,0.923,0,0
Arroz,Valle del Cauca,34.4,62.4,5.43,3.82,1,0
Arroz,Valle del Cauca,22.7,52.9,6.52,4.83,0,0
Maíz,Llanos Orientales,23.0,58.4,7.05,1.642,0,0
Café,Llanos Orientales,29.4,43.2,7.43,0.427,0,0
Maíz,Llanos Orientales,14.1,70.3,6.06,1.555,0,0
Café,Región Andina,17.3,59.3,4.56,0.834,0,0
Maíz,Región Andina,12.7,56.8,6.15,1.256,0,0
Café,Región Caribe,21.3,78.2,7.01,1.174,0,0
Café,Región Caribe,16.2,64.9,6.76,0.83,0,0
Café,Valle del Cauca,25.3,69.7,5.83,0.862,0,0
Café,Región Caribe,19.7,49.0,6.64,0.645,0,0
Café,Llanos Orientales,20.4,80.6,6.26,1.147,0,0
Maíz,Región Caribe,15.6,61.0,6.48,1.281,0,0
Maíz,Eje Cafetero,25.4,66.0,5.28,1.376,0,0
Maíz,Eje Cafetero,20.9,51.6,6.17,1.171,0,0
Café,Llanos Orientales,17.4,75.0,6.23,0.745,0,0
Plátano,Región Caribe,17.0,59.5,7.14,7.323,0,0
Plátano,Eje Cafetero,30.0,46.1,4.98,5.227,0,0
Plátano,Llanos Orientales,19.5,61.6,4.31,7.077,0,0
Plátano,Valle del Cauca,27.1,54.7,6.83,6.522,0,0
Plátano,Región Caribe,21.7,76.4,7.25,9.896,0,0
Plátano,Región Caribe,19.7,57.8,6.36,6.282,0,0
Maíz,Región Andina,22.2,77.2,7.72,1.865,0,0
Arroz,Llanos Orientales,26.3,63.5,6.67,5.168,0,0
Papa,Valle del Cauca,28.0,55.8,6.7,16.139,0,0
Maíz,Región Caribe,27.3,60.4,5.62,1.564,0,0
Café,Eje Cafetero,23.0,40.5,6.07,0.56,0,0
Papa,Eje Cafetero,23.9,48.9,6.05,17.247,0,0
Café,Región Andina,23.0,59.6,6.94,0.93,0,0
Maíz,Región Caribe,21.2,46.3,6.51,1.443,0,0
Café,Eje Cafetero,23.4,47.9,7.43,0.556,0,0
Maíz,Llanos Orientales,19.8,49.9,5.97,1.516,0,0
Arroz,Valle del Cauca,20.9,70.7,5.62,5.484,0,0
Café,Valle del Cauca,20.0,74.6,4.98,1.134,0,0
Café,Valle del Cauca,17.5,47.6,5.37,0.652,0,0
Café,Llanos Orientales,24.4,70.3,5.24,0.896,0,0
Arroz,Eje Cafetero,23.6,52.1,7.13,4.988,0,0
Maíz,Llanos Orientales,18.1,30.1,5.71,0.76,0,0
Plátano,Región Andina,17.1,47.5,6.93,5.778,0,0
Papa,Región Andina,22.1,48.7,8.1,16.952,0,0
Arroz,Valle del Cauca,20.2,72.1,5.87,5.663,0,0
Café,Valle del Cauca,24.0,7.7,6.24,0.109,0,1
Maíz,Valle del Cauca,28.1,39.2,7.07,0.793,0,0
Papa,Región Caribe,17.9,42.1,6.6,11.926,0,0
Plátano,Región Andina,20.1,42.5,6.92,6.404,0,0
Papa,Valle del Cauca,27.3,58.5,5.72,18.411,0,0
Café,Región Caribe,24.2,48.5,6.69,0.573,0,0
Café,Llanos Orientales,24.4,77.1,5.63,0.976,0,0
Maíz,Región Andina,24.1,37.0,5.49,1.121,0,0
Plátano,Eje Cafetero,23.3,51.6,4.19,7.464,0,0
Café,Llanos Orientales,12.5,56.4,7.65,0.63,0,0
Plátano,Llanos Orientales,27.3,48.4,5.66,5.768,0,0
Arroz,Región Andina,17.0,82.6,6.04,5.312,0,0
Arroz,Región Andina,18.5,67.5,5.81,5.749,0,0
Plátano,Eje Cafetero,12.8,47.5,5.18,5.54,0,0
Maíz,Eje Cafetero,30.6,70.6,6.45,1.718,1,0
Papa,Llanos Orientales,15.6,75.2,5.46,21.031,0,0
Café,Región Andina,18.8,33.3,6.65,0.384,0,0
Arroz,Eje Cafetero,22.9,44.0,5.37,3.819,0,0
Maíz,Valle del Cauca,18.0,72.2,6.99,2.102,0,0
Café,Eje Cafetero,28.6,47.3,5.46,0.607,0,0
Café,Región Andina,24.9,51.6,6.49,0.572,0,0
Plátano,Región Andina,16.8,59.8,6.85,6.531,0,0
Café,Región Caribe,21.1,81.6,5.84,1.176,0,0
Papa,Llanos Orientales,24.6,75.4,5.2,22.125,0,0
Café,Eje Cafetero,18.2,21.1,6.41,0.241,0,1
Maíz,Llanos Orientales,29.7,62.5,5.62,1.453,0,0
Maíz,Llanos Orientales,26.1,56.9,7.34,1.485,0,0
Plátano,Valle del Cauca,18.2,56.2,7.17,7.449,0,0
Maíz,Llanos Orientales,24.1,64.1,6.36,1.649,0,0
Café,Región Caribe,17.9,29.4,6.6,0.411,0,1
Arroz,Valle del Cauca,26.4,60.7,6.59,5.066,0,0
Arroz,Región Caribe,20.5,46.7,4.83,4.232,0,0
Café,Llanos Orientales,13.4,39.5,5.83,0.382,0,0
Arroz,Región Andina,30.5,62.5,5.48,4.783,1,0
Arroz,Eje Cafetero,16.2,29.9,5.67,1.943,0,1
Café,Región Andina,26.7,67.5,5.98,0.835,0,0
Café,Región Caribe,28.7,62.9,5.56,0.639,0,0
Café,Región Caribe,26.0,58.4,6.6,0.726,0,0
Café,Región Caribe,17.1,40.2,7.27,0.453,0,0
Plátano,Región Caribe,28.9,42.0,5.51,4.773,0,0
Arroz,Valle del Cauca,26.6,79.2,6.86,6.896,0,0
Café,Región Caribe,17.1,71.4,6.07,0.999,0,0
Maíz,Valle del Cauca,29.8,39.6,5.7,0.843,0,0
Café,Eje Cafetero,22.9,47.1,5.72,0.633,0,0
Arroz,Eje Cafetero,22.1,26.6,6.52,2.613,0,1
Plátano,Llanos Orientales,20.8,34.3,5.31,3.884,0,0
Café,Llanos Orientales,18.7,87.7,6.9,0.96,0,0
Papa,Llanos Orientales,24.5,47.9,5.96,16.814,0,0
Maíz,Llanos Orientales,21.7,76.9,4.44,2.158,0,0
Café,Eje Cafetero,22.6,77.5,6.4,1.122,0,0
Arroz,Valle del Cauca,18.7,43.0,6.44,3.289,0,0
Café,Eje Cafetero,23.4,81.7,5.98,1.272,0,0
Café,Región Andina,14.0,43.8,6.02,0.478,0,0
Plátano,Región Andina,26.3,49.1,5.9,5.817,0,0
Arroz,Llanos Orientales,21.1,41.4,7.14,3.024,0,0
Café,Eje Cafetero,29.4,35.6,5.39,0.364,0,0
Café,Región Andina,19.3,53.1,6.28,0.651,0,0
Café,Llanos Orientales,19.7,35.2,5.47,0.485,0,0
Maíz,Valle del Cauca,22.2,63.0,7.06,1.582,0,0
Plátano,Valle del Cauca,17.4,76.8,5.96,10.31,0,0
Café,Valle del Cauca,21.5,38.9,6.96,0.446,0,0
Café,Llanos Orientales,20.3,70.1,6.53,1.005,0,0
Arroz,Valle del Cauca,24.3,88.2,5.61,6.553,0,0
Plátano,Región Caribe,19.1,46.7,5.57,5.635,0,0
Maíz,Llanos Orientales,29.1,39.5,6.67,0.818,0,0
Papa,Valle del Cauca,16.9,41.7,5.87,10.694,0,0
Arroz,Valle del Cauca,26.4,64.3,7.08,4.684,0,0
Café,Eje Cafetero,24.3,80.2,5.17,0.947,0,0
Café,Llanos Orientales,23.1,5.0,7.32,0.067,0,1
Arroz,Región Caribe,18.8,48.4,7.55,3.715,0,0
Arroz,Región Andina,32.0,55.2,6.15,3.237,1,0
Café,Región Caribe,20.3,37.9,5.59,0.542,0,0
Café,Valle del Cauca,20.0,71.1,7.01,0.956,0,0
Arroz,Valle del Cauca,29.6,67.3,6.15,4.34,0,0
Arroz,Llanos Orientales,25.4,32.3,5.88,2.694,0,0
Café,Llanos Orientales,20.8,61.6,5.09,0.79,0,0
Café,Llanos Orientales,17.2,89.4,5.05,0.996,0,0
Arroz,Llanos Orientales,22.9,84.2,7.96,7.005,0,0
Café,Región Caribe,14.5,74.1,6.04,0.717,0,0
Arroz,Valle del Cauca,25.5,70.9,6.83,6.479,0,0
Arroz,Región Andina,23.7,74.8,4.82,6.656,0,0
Café,Región Caribe,24.3,76.4,7.49,1.017,0,0
Café,Valle del Cauca,27.2,32.6,4.43,0.336,0,0
Café,Región Andina,25.2,53.5,4.0,0.629,0,0
Papa,Eje Cafetero,24.9,49.1,5.16,13.29,0,0
Papa,Región Caribe,22.8,56.4,6.7,18.993,0,0
Café,Región Andina,29.0,35.4,5.81,0.347,0,0
Café,Eje Cafetero,11.2,74.2,6.28,0.872,0,0
Maíz,Región Andina,20.8,19.1,6.09,0.575,0,1
Maíz,Eje Cafetero,13.0,79.3,5.51,1.789,0,0
Café,Valle del Cauca,26.7,69.8,6.2,0.912,0,0
Arroz,Región Caribe,26.9,75.2,6.86,5.227,0,0
Maíz,Región Caribe,20.4,62.5,6.15,1.7,0,0
Maíz,Valle del Cauca,17.6,73.3,6.62,2.101,0,0
Maíz,Eje Cafetero,27.0,63.6,6.2,1.635,0,0
Café,Región Andina,19.3,70.1,6.41,0.994,0,0
Maíz,Eje Cafetero,26.5,68.5,6.62,1.687,0,0
Arroz,Región Andina,21.2,66.3,6.37,5.877,0,0
Café,Valle del Cauca,23.0,37.4,6.12,0.42,0,0
Café,Valle del Cauca,23.5,37.4,6.2,0.423,0,0
Plátano,Región Caribe,13.9,30.6,5.56,3.516,0,0
Café,Región Andina,30.8,58.1,6.66,0.721,1,0
Café,Llanos Orientales,22.8,24.2,5.45,0.345,0,1
Café,Valle del Cauca,19.7,94.0,7.27,1.374,0,0
Maíz,Región Caribe,18.1,36.5,7.99,0.937,0,0
Café,Valle del Cauca,23.5,41.1,5.8,0.473,0,0
Maíz,Valle del Cauca,24.2,97.5,5.9,2.536,0,0
Café,Eje Cafetero,13.1,29.9,5.29,0.283,0,1
Arroz,Llanos Orientales,28.9,26.6,6.07,1.815,0,1
Plátano,Región Andina,28.3,64.5,7.35,6.998,0,0
Papa,Valle del Cauca,19.3,70.2,6.04,23.553,0,0
Maíz,Llanos Orientales,17.2,70.1,6.39,1.625,0,0
Café,Región Andina,20.1,63.5,4.96,0.756,0,0
Maíz,Llanos Orientales,20.8,63.0,7.19,1.852,0,0
Maíz,Eje Cafetero,22.2,65.4,4.99,1.868,0,0
Maíz,Región Caribe,24.3,62.8,6.58,1.798,0,0
Café,Eje Cafetero,25.1,34.5,6.1,0.382,0,0
Café,Valle del Cauca,18.4,65.0,4.9,0.774,0,0
Papa,Región Caribe,11.3,48.9,6.02,12.267,0,0
Café,Región Caribe,22.9,74.0,8.5,1.166,0,0
Café,Región Caribe,24.7,64.4,6.25,0.806,0,0
Café,Región Andina,26.2,25.5,6.31,0.297,0,1
Plátano,Región Caribe,26.4,17.1,7.24,2.013,0,1
Maíz,Valle del Cauca,28.2,48.7,6.25,1.328,0,0
Café,Llanos Orientales,28.9,67.0,5.37,0.686,0,0
Café,Llanos Orientales,14.8,66.2,7.14,0.754,0,0
Maíz,Valle del Cauca,21.2,48.6,7.26,1.54,0,0
Café,Región Caribe,19.2,46.0,4.96,0.565,0,0
Plátano,Eje Cafetero,27.5,39.2,7.74,5.177,0,0
Papa,Región Caribe,14.1,60.5,6.91,16.368,0,0
Arroz,Valle del Cauca,17.7,84.3,5.68,6.778,0,0
Maíz,Región Caribe,16.7,82.0,7.87,1.718,0,0
Maíz,Eje Cafetero,15.7,61.1,7.28,1.449,0,0
Café,Región Andina,19.2,45.2,7.57,0.511,0,0
Maíz,Región Caribe,17.0,54.4,5.72,1.355,0,0
Maíz,Región Andina,14.9,40.4,4.64,1.05,0,0
Café,Región Caribe,18.9,49.4,6.39,0.525,0,0
Café,Región Andina,17.3,39.0,5.9,0.429,0,0
Arroz,Región Andina,26.2,58.3,7.33,4.323,0,0
Arroz,Eje Cafetero,23.8,40.1,5.15,2.865,0,0
Café,Llanos Orientales,24.4,22.0,4.8,0.294,0,1
Café,Llanos Orientales,30.4,68.5,7.05,0.761,1,0
Café,Región Caribe,28.0,76.3,6.1,0.906,0,0
Arroz,Llanos Orientales,26.5,40.0,6.81,2.619,0,0
Arroz,Región Andina,20.2,30.5,6.83,2.066,0,0
Maíz,Valle del Cauca,20.9,65.1,6.37,1.617,0,0
Arroz,Región Andina,20.0,38.7,6.13,3.277,0,0
Arroz,Eje Cafetero,24.2,42.6,4.6,3.605,0,0
Arroz,Eje Cafetero,25.7,55.8,6.62,4.764,0,0
Café,Eje Cafetero,24.0,48.9,6.53,0.739,0,0
Maíz,Eje Cafetero,22.7,57.0,6.92,1.308,0,0
Maíz,Eje Cafetero,19.3,48.2,6.85,1.396,0,0
Papa,Llanos Orientales,24.0,50.7,5.85,17.469,0,0
Café,Eje Cafetero,21.3,47.9,6.04,0.569,0,0
Café,Eje Cafetero,21.4,61.1,7.28,0.916,0,0
Plátano,Eje Cafetero,25.5,41.3,6.36,5.427,0,0
Arroz,Eje Cafetero,21.1,87.5,5.88,6.4,0,0
Papa,Región Caribe,26.7,33.0,7.73,10.216,0,0
Café,Región Andina,27.7,52.3,6.68,0.525,0,0
Papa,Región Caribe,25.8,40.9,5.82,13.178,0,0
Café,Llanos Orientales,26.8,81.1,5.38,1.131,0,0
Café,Región Caribe,18.2,62.6,6.24,0.739,0,0
Maíz,Región Andina,20.3,48.4,5.74,1.103,0,0
Maíz,Eje Cafetero,21.8,51.7,6.1,1.499,0,0
Maíz,Región Caribe,11.1,39.3,6.59,0.684,0,0
Café,Llanos Orientales,26.0,58.6,6.69,0.786,0,0
Café,Región Andina,25.6,52.8,5.79,0.587,0,0
Maíz,Región Andina,21.3,57.3,5.35,1.555,0,0
Café,Llanos Orientales,22.7,49.8,6.09,0.578,0,0
Maíz,Llanos Orientales,25.3,57.3,6.0,1.554,0,0
Café,Valle del Cauca,25.4,40.3,6.91,0.428,0,0
Maíz,Región Andina,15.6,89.3,5.66,2.068,0,0
Papa,Eje Cafetero,22.2,46.0,6.78,14.41,0,0
Arroz,Valle del Cauca,13.6,60.2,5.69,3.821,0,0
Café,Valle del Cauca,16.0,57.9,5.59,0.605,0,0
Maíz,Región Caribe,21.5,17.6,6.12,0.411,0,1
Plátano,Llanos Orientales,17.2,35.9,5.37,4.77,0,0
Café,Eje Cafetero,19.8,53.3,5.04,0.748,0,0
Café,Eje Cafetero,29.1,56.2,5.62,0.585,0,0
Maíz,Valle del Cauca,18.0,48.9,7.62,1.25,0,0
Arroz,Llanos Orientales,22.2,19.6,6.79,1.743,0,1
Café,Región Caribe,25.6,78.7,5.8,0.879,0,0
Café,Llanos Orientales,18.9,40.2,6.92,0.437,0,0
Arroz,Llanos Orientales,24.0,47.8,6.44,4.525,0,0
Maíz,Región Caribe,27.4,28.4,5.86,0.783,0,1
Plátano,Eje Cafetero,20.5,64.7,7.01,9.814,0,0
Papa,Región Caribe,26.7,29.4,5.33,9.178,0,1
Papa,Valle del Cauca,20.2,50.0,5.9,14.775,0,0
Café,Valle del Cauca,29.2,69.9,7.18,0.699,0,0
Maíz,Llanos Orientales,19.9,13.6,5.73,0.358,0,1
Maíz,Región Andina,17.0,75.6,6.33,1.651,0,0
Maíz,Región Caribe,19.4,29.3,6.4,0.765,0,1
Café,Región Andina,22.0,51.1,5.87,0.805,0,0
Café,Llanos Orientales,18.7,60.8,7.69,0.868,0,0
Maíz,Región Caribe,23.7,65.9,6.93,1.551,0,0
Papa,Región Caribe,14.7,61.9,6.08,18.787,0,0
Maíz,Eje Cafetero,21.4,48.8,4.84,1.496,0,0
Café,Llanos Orientales,22.0,21.8,5.4,0.347,0,1
Maíz,Región Caribe,13.9,63.7,4.58,1.508,0,0
Arroz,Llanos Orientales,19.0,76.5,5.7,6.973,0,0
Arroz,Valle del Cauca,23.9,61.8,5.7,4.825,0,0
Arroz,Llanos Orientales,21.4,36.5,8.36,3.185,0,0
Maíz,Región Andina,20.5,50.5,5.84,1.109,0,0
Maíz,Eje Cafetero,33.4,53.4,6.69,1.043,1,0
Papa,Valle del Cauca,32.2,67.3,7.23,17.199,1,0
Maíz,Llanos Orientales,27.6,54.5,6.11,1.212,0,0
Maíz,Valle del Cauca,24.9,62.8,6.19,1.717,0,0
Papa,Eje Cafetero,25.3,77.5,5.0,20.545,0,0
Papa,Llanos Orientales,26.5,45.1,4.72,13.533,0,0
Papa,Valle del Cauca,28.8,64.7,6.59,16.253,0,0
Maíz,Llanos Orientales,25.7,67.3,6.34,1.829,0,0
Papa,Llanos Orientales,13.7,41.8,7.9,13.193,0,0
Arroz,Valle del Cauca,27.9,57.4,6.32,4.622,0,0
Maíz,Valle del Cauca,21.2,64.8,5.43,1.881,0,0
Papa,Llanos Orientales,23.6,58.4,6.66,17.045,0,0
Arroz,Región Andina,28.5,50.5,8.45,3.631,0,0
Café,Región Caribe,25.7,65.7,6.95,0.782,0,0
Maíz,Llanos Orientales,18.7,63.0,4.67,1.501,0,0
Plátano,Región Andina,27.3,39.5,6.17,4.409,0,0
Plátano,Llanos Orientales,19.5,57.5,5.75,6.214,0,0
Café,Región Caribe,32.8,61.8,6.11,0.602,1,0
Café,Región Andina,14.8,76.5,6.07,0.738,0,0
Café,Región Andina,17.6,58.6,6.13,0.8,0,0
Café,Región Andina,19.4,83.5,4.9,1.205,0,0
Café,Llanos Orientales,16.4,34.8,5.95,0.35,0,0
Arroz,Eje Cafetero,18.3,58.3,7.15,4.531,0,0
Café,Región Andina,25.9,29.5,5.16,0.398,0,1
Café,Región Andina,9.2,51.9,5.43,0.416,0,0
Café,Región Caribe,17.2,42.5,5.34,0.558,0,0
Plátano,Valle del Cauca,22.2,53.1,6.55,7.499,0,0
Café,Región Caribe,26.8,49.2,5.95,0.644,0,0
Papa,Región Caribe,21.6,30.3,6.35,11.061,0,0
Café,Llanos Orientales,21.6,76.8,5.33,0.964,0,0
Arroz,Valle del Cauca,29.6,52.1,7.66,3.235,0,0
Arroz,Región Caribe,21.9,57.3,5.87,5.469,0,0
Café,Eje Cafetero,14.8,66.4,5.57,0.724,0,0
Maíz,Región Caribe,15.2,38.8,6.21,0.855,0,0
Arroz,Valle del Cauca,19.5,51.8,6.35,4.77,0,0
Arroz,Llanos Orientales,28.1,54.1,6.06,4.069,0,0
Café,Región Andina,18.0,65.7,5.67,0.877,0,0
Café,Eje Cafetero,18.7,43.4,6.08,0.525,0,0
Café,Región Caribe,20.3,74.0,6.03,0.857,0,0
Plátano,Región Andina,27.2,41.0,7.6,4.784,0,0
Arroz,Llanos Orientales,15.1,39.1,4.92,2.915,0,0
Café,Eje Cafetero,22.5,43.6,7.72,0.57,0,0
Arroz,Región Andina,26.5,27.4,6.68,2.387,0,1
Café,Eje Cafetero,27.2,55.8,4.25,0.672,0,0
Arroz,Eje Cafetero,19.7,27.7,4.0,2.125,0,1
Plátano,Región Andina,18.6,54.4,4.22,7.715,0,0
